date,average_price,total_volume,_4046,_4225,_4770,total_bags,type,year,geography
2016-08-28,0.88,830560.6,610762,216733.1,3065.44,191046.5,conventional,2016,Houston
2016-08-28,0.91,15320.35,15291.42,28.93,0,31648.57,organic,2016,Houston
2016-08-28,1.27,94673.18,13732.36,78138.81,2802.01,72728.68,conventional,2016,Indianapolis
2016-08-28,1.25,2036.33,528.46,1507.87,0,3996.68,organic,2016,Indianapolis
2016-08-28,1.14,122902.8,90634.98,32154.69,113.13,54397.34,conventional,2016,Jacksonville
2016-08-28,1.73,847.17,750.69,90.6,5.88,1553.33,organic,2016,Jacksonville
2016-08-28,1.03,186859.1,123739.6,56927.33,6192.15,101564.2,conventional,2016,Las Vegas
2016-08-28,2.02,5327.12,2503.68,2823.44,0,2805.67,organic,2016,Las Vegas
2016-08-28,0.81,2066210,1471105,537892.9,57212.08,1497059,conventional,2016,Los Angeles
2016-08-28,1.26,39979.64,14056.73,25916.53,6.38,64291.12,organic,2016,Los Angeles
2016-08-28,1.13,51494.51,1887.97,48991.99,614.55,31168.69,conventional,2016,Louisville
2016-08-28,1.23,2035.9,7.91,2027.99,0,1962.23,organic,2016,Louisville
2016-08-28,1.22,422524.6,290432.6,131832.8,259.19,136304.2,conventional,2016,Miami/Ft. Lauderdale
2016-08-28,1.36,76.91,37.94,38.97,0,3526.67,organic,2016,Miami/Ft. Lauderdale
2016-08-28,1.09,117226.7,104278.6,12600.77,347.34,55531.02,conventional,2016,Nashville
2016-08-28,1.3,4614.01,474.37,4139.64,0,4867.09,organic,2016,Nashville
2016-08-28,1.02,221063.3,171213.5,49486.31,363.52,88175.58,conventional,2016,New Orleans/Mobile
2016-08-28,1.49,184.5,184.5,0,0,3558.77,organic,2016,New Orleans/Mobile
2016-08-28,1.58,772634.4,19257.01,715527.4,37849.93,439765.6,conventional,2016,New York
2016-08-28,2.32,17134.05,3097.46,12760.69,1275.9,2241.75,organic,2016,New York
2016-08-28,1.08,504216.5,211564.4,287750.3,4901.82,69122.17,conventional,2016,Northern New England
2016-08-28,1.51,236.45,1.25,235.2,0,8629.75,organic,2016,Northern New England
2016-08-28,1.18,244546,163536.6,80917.57,91.83,82367.3,conventional,2016,Orlando
2016-08-28,1.8,2494.99,2353.65,141.34,0,3800,organic,2016,Orlando
2016-08-28,1.49,235260.2,21609.9,200120.8,13529.45,183482.6,conventional,2016,Philadelphia
2016-08-28,2.06,3999.1,573.3,3403.23,22.57,2322.3,organic,2016,Philadelphia
2016-08-28,0.79,808715.8,590085.7,207913.3,10716.73,216084,conventional,2016,Phoenix/Tucson
2016-08-28,2.18,6701.97,3373.56,3328.41,0,1823.62,organic,2016,Phoenix/Tucson
2016-08-28,1.4,55306.66,10388.44,43896.41,1021.81,33941.19,conventional,2016,Pittsburgh
2016-08-28,1.52,938.72,713.43,225.29,0,3711.62,organic,2016,Pittsburgh
2016-08-28,0.99,305932.6,119829.6,173787.9,12315.05,315525.8,conventional,2016,Portland
2016-08-28,2.06,21116.17,5636.6,15479.57,0,512.23,organic,2016,Portland
2016-08-28,1.29,202227.2,88767.63,100303.1,13156.44,79530.99,conventional,2016,Raleigh/Greensboro
2016-08-28,1.79,6335.4,433.33,5340.54,561.53,8417.78,organic,2016,Raleigh/Greensboro
2016-08-28,1.06,178320.9,87612.12,85621.03,5087.71,72113.66,conventional,2016,Richmond/Norfolk
2016-08-28,1.32,4273,106.71,3821,345.29,5083.4,organic,2016,Richmond/Norfolk
2016-08-28,1.03,91864.63,48406.18,43349.65,108.8,63164.75,conventional,2016,Roanoke
2016-08-28,1.05,3743.93,66.5,3677.43,0,7310.87,organic,2016,Roanoke
2016-08-28,1.33,381857.8,150624.2,225695.9,5537.68,39725.97,conventional,2016,Sacramento
2016-08-28,2.23,6558.82,1196.98,5359.18,2.66,359.99,organic,2016,Sacramento
2016-08-28,0.9,404662.4,244514.3,145515.5,14632.5,215379.1,conventional,2016,San Diego
2016-08-28,1.89,10864.44,2605.56,8258.88,0,3494.9,organic,2016,San Diego
2016-08-28,1.38,741434.2,258578.9,469333.1,13522.19,70976.65,conventional,2016,San Francisco
2016-08-28,2.38,21422.95,879.59,20543.36,0,2720.56,organic,2016,San Francisco
2016-08-28,1.08,291345.3,114777.4,174074,2493.89,301258.9,conventional,2016,Seattle
2016-08-28,2.24,18264.86,5595.5,12638.28,31.08,606.73,organic,2016,Seattle
2016-08-28,1.11,252325,197155.1,48370.23,6799.65,99972.97,conventional,2016,South Carolina
2016-08-28,1.51,4765.01,784.67,3574.06,406.28,7706.56,organic,2016,South Carolina
2016-08-28,1.12,44307.43,24062.61,18386.73,1858.09,39320.51,conventional,2016,Spokane
2016-08-28,2.51,1182.35,511.39,670.96,0,44.86,organic,2016,Spokane
2016-08-28,1.15,65965.08,43863.96,22002.03,99.09,67223.71,conventional,2016,St. Louis
2016-08-28,1.04,3859.99,2752.04,1084.38,23.57,7015.77,organic,2016,St. Louis
2016-08-28,1.38,51305.19,5939.38,45349.71,16.1,20406.64,conventional,2016,Syracuse
2016-08-28,1.54,190.41,6.1,184.31,0,1549.25,organic,2016,Syracuse
2016-08-28,1.14,277139.4,177292.7,99784.11,62.59,101678.3,conventional,2016,Tampa
2016-08-28,1.39,175.04,114.1,60.94,0,3763.33,organic,2016,Tampa
2016-08-28,0.93,578196.9,472159.5,93803.41,12234.07,211026.6,conventional,2016,West Tex/New Mexico
2016-08-28,1.69,4963.84,2630.75,2321.75,11.34,8689.07,organic,2016,West Tex/New Mexico
2016-09-04,1.44,79795.99,14741.13,64966.75,88.11,15660.27,conventional,2016,Albany
2016-09-04,1.73,234.02,52.26,181.76,0,1960.75,organic,2016,Albany
2016-09-04,0.89,412199.5,356593.2,55475.65,130.69,202457.5,conventional,2016,Atlanta
2016-09-04,1.38,6974.68,1585.58,5389.1,0,8132.27,organic,2016,Atlanta
2016-09-04,1.51,560672.3,97714.06,442803.3,20154.92,201545.8,conventional,2016,Baltimore/Washington
2016-09-04,2.03,10169.64,705.28,9032.33,432.03,9028.14,organic,2016,Baltimore/Washington
2016-09-04,1.01,46356.64,37233.67,2055.59,7067.38,33326.42,conventional,2016,Boise
2016-09-04,1.47,1426.01,0,1426.01,0,1674.86,organic,2016,Boise
2016-09-04,1.41,415537.9,23481.94,381830.8,10225.22,126133.3,conventional,2016,Boston
2016-09-04,1.73,769.91,15.53,754.38,0,13748.09,organic,2016,Boston
2016-09-04,1.48,70949.43,3089.84,67790.92,68.67,24524.27,conventional,2016,Buffalo/Rochester
2016-09-04,1.53,279.26,83.54,195.72,0,5408.94,organic,2016,Buffalo/Rochester
2016-09-04,1.33,134247.4,58888.34,56699.56,18659.47,70716.58,conventional,2016,Charlotte
2016-09-04,1.81,5155.26,205.09,4068.91,881.26,3426.93,organic,2016,Charlotte
2016-09-04,1.6,585229.9,77981.63,415924.6,91323.75,85223.46,conventional,2016,Chicago
2016-09-04,2.08,27849.51,91.7,27757.81,0,2043.33,organic,2016,Chicago
2016-09-04,1.12,123489.1,3789.59,117600.2,2099.28,128570.2,conventional,2016,Cincinnati/Dayton
2016-09-04,1.34,11100.35,535.98,10564.37,0,10974.69,organic,2016,Cincinnati/Dayton
2016-09-04,1.06,104789.3,73011.64,29161.53,2616.16,56572.91,conventional,2016,Columbus
2016-09-04,1.17,5458.45,962.25,4496.2,0,6411.21,organic,2016,Columbus
2016-09-04,0.74,978715.9,719597.2,256376.5,2742.25,412175.6,conventional,2016,Dallas/Ft. Worth
2016-09-04,1.05,9444.97,9117.89,327.08,0,21271.53,organic,2016,Dallas/Ft. Worth
2016-09-04,0.91,418625.2,146921.6,254464,17239.6,505653,conventional,2016,Denver
2016-09-04,1.15,11349.03,8810.53,2263.32,275.18,13677.44,organic,2016,Denver
2016-09-04,1.08,187827,119899.3,56047.32,11880.35,138508.5,conventional,2016,Detroit
2016-09-04,1.03,8634.92,657.1,7977.82,0,12143.54,organic,2016,Detroit
2016-09-04,1.52,90739.57,2698.76,79726.85,8313.96,52174.15,conventional,2016,Grand Rapids
2016-09-04,1.96,1221.46,436.53,784.93,0,561.1,organic,2016,Grand Rapids
2016-09-04,1.15,190390,77540.78,112618.3,230.96,120786.6,conventional,2016,Harrisburg/Scranton
2016-09-04,1.85,558.77,276.48,260.91,21.38,6905.82,organic,2016,Harrisburg/Scranton
2016-09-04,1.54,211387.4,10730.88,199814.2,842.34,68240.75,conventional,2016,Hartford/Springfield
2016-09-04,2.34,4368.6,167.34,4191.66,9.6,4653.22,organic,2016,Hartford/Springfield
2016-09-04,0.72,1052120,782982.9,265697,3439.75,299530.3,conventional,2016,Houston
2016-09-04,0.91,13314.51,13279.9,34.61,0,31055.24,organic,2016,Houston
2016-09-04,1.31,96423.13,17530.05,75640.39,3252.69,64248.89,conventional,2016,Indianapolis
2016-09-04,1.56,2542.57,714.79,1827.78,0,2693.07,organic,2016,Indianapolis
2016-09-04,0.94,162797.2,128269.3,34369.64,158.3,76448.84,conventional,2016,Jacksonville
2016-09-04,1.87,1250.47,1152.74,97.73,0,1420,organic,2016,Jacksonville
2016-09-04,1.03,233414.7,158224.3,69349.24,5841.12,101765.1,conventional,2016,Las Vegas
2016-09-04,2.02,6068.13,2868.88,3199.25,0,3198.6,organic,2016,Las Vegas
2016-09-04,0.88,2080016,1409250,626922.8,43844.13,1351660,conventional,2016,Los Angeles
2016-09-04,1.29,42348.05,13910.17,28437.88,0,64496.42,organic,2016,Los Angeles
2016-09-04,1.11,49231.84,2682.05,45780.53,769.26,33709.14,conventional,2016,Louisville
2016-09-04,1.04,1793.07,1.31,1791.76,0,3011.29,organic,2016,Louisville
2016-09-04,0.97,666438.5,525593.6,140626.9,218.05,195957.7,conventional,2016,Miami/Ft. Lauderdale
2016-09-04,1.36,109.19,59.27,49.92,0,6040,organic,2016,Miami/Ft. Lauderdale
2016-09-04,0.73,187684.6,172938.8,14374.03,371.7,105217.6,conventional,2016,Nashville
2016-09-04,0.93,4977.53,534.7,4442.83,0,11132.52,organic,2016,Nashville
2016-09-04,0.94,238308.2,172989.3,65043.94,274.9,85843.13,conventional,2016,New Orleans/Mobile
2016-09-04,1.52,280.27,257.09,23.18,0,3926.51,organic,2016,New Orleans/Mobile
2016-09-04,1.47,868404.9,23916.16,832269.6,12219.16,410344.3,conventional,2016,New York
2016-09-04,2.15,24280.19,5169.75,18565.29,545.15,20924.19,organic,2016,New York
2016-09-04,1.38,299060.9,83711.04,209147.8,6202.12,75841.98,conventional,2016,Northern New England
2016-09-04,1.58,232.39,1,231.39,0,12807.05,organic,2016,Northern New England
2016-09-04,0.97,351437.6,275859.8,75406.02,171.78,125863.6,conventional,2016,Orlando
2016-09-04,1.85,2742.81,2496.83,245.98,0,3523.33,organic,2016,Orlando
2016-09-04,1.3,292144.4,47716.6,240344.9,4082.84,196319.4,conventional,2016,Philadelphia
2016-09-04,2.04,5814.04,1240.26,4534.3,39.48,6312.2,organic,2016,Philadelphia
2016-09-04,0.64,1222410,947924.8,261415.2,13070.26,233360.7,conventional,2016,Phoenix/Tucson
2016-09-04,2.15,6848.61,3684.64,3163.97,0,2065.45,organic,2016,Phoenix/Tucson
2016-09-04,1.23,57905.84,18723.14,37833.25,1349.45,35981.94,conventional,2016,Pittsburgh
2016-09-04,1.53,1054.92,927.16,127.76,0,4217.95,organic,2016,Pittsburgh
2016-09-04,1.01,311587.6,131619.3,166648.4,13319.89,301470.9,conventional,2016,Portland
2016-09-04,1.34,18468.03,4754.59,13713.44,0,19885.08,organic,2016,Portland
2016-09-04,1.27,200701.6,90299.49,90747.57,19654.54,86626.76,conventional,2016,Raleigh/Greensboro
2016-09-04,1.83,6408.79,202.29,5615.18,591.32,8542.86,organic,2016,Raleigh/Greensboro
2016-09-04,1.11,193795.4,100754,86557.82,6483.63,70028.45,conventional,2016,Richmond/Norfolk
2016-09-04,1.29,4664.71,130.62,4206.95,327.14,6021.11,organic,2016,Richmond/Norfolk
2016-09-04,1.01,95029.21,51973.15,42949.04,107.02,67328.62,conventional,2016,Roanoke
2016-09-04,1.15,3893.7,97.77,3795.93,0,7950.47,organic,2016,Roanoke
2016-09-04,1.32,405499.7,153239.5,247684.7,4575.47,66590.51,conventional,2016,Sacramento
2016-09-04,2.19,6533.99,1311.6,5222.39,0,379.8,organic,2016,Sacramento
2016-09-04,1.06,362437.3,186260.7,164050.3,12126.32,188319.4,conventional,2016,San Diego
2016-09-04,1.79,10613.02,2161.04,8451.98,0,5117.67,organic,2016,San Diego
2016-09-04,1.47,766356.2,203090.4,552428.9,10836.96,83747.92,conventional,2016,San Francisco
2016-09-04,2.38,21669.62,808.89,20860.73,0,2824.49,organic,2016,San Francisco
2016-09-04,1.13,276613.2,132309,141811.2,2493.01,287239.2,conventional,2016,Seattle
2016-09-04,2.09,19825.23,6158.94,13584.95,81.34,2181.35,organic,2016,Seattle
2016-09-04,1.03,297359,228636,60398.43,8324.56,122568.1,conventional,2016,South Carolina
2016-09-04,1.6,4742.19,752.61,3665.9,323.68,6611.26,organic,2016,South Carolina
2016-09-04,1.12,44337.8,27414.8,15403.74,1519.26,39238.05,conventional,2016,Spokane
2016-09-04,1.93,1641.73,645.19,996.54,0,446.34,organic,2016,Spokane
2016-09-04,1.16,68995.93,41709.95,27154.21,131.77,82460.15,conventional,2016,St. Louis
2016-09-04,1.06,3386.27,2817.65,568.62,0,5119.14,organic,2016,St. Louis
2016-09-04,1.53,39507.2,3545.98,35938.12,23.1,12285.7,conventional,2016,Syracuse
2016-09-04,1.56,118.28,10.97,107.31,0,1725.95,organic,2016,Syracuse
2016-09-04,0.95,404166.8,298317.4,105769.8,79.6,156524.4,conventional,2016,Tampa
2016-09-04,1.37,123.21,77.63,45.58,0,4520,organic,2016,Tampa
2016-09-04,0.88,670689.8,570194.1,87176.97,13318.67,192349.4,conventional,2016,West Tex/New Mexico
2016-09-04,1.82,6387.11,3062.97,3324.14,0,8422.41,organic,2016,West Tex/New Mexico
2016-09-11,1.37,69812.99,6258.88,63511.85,42.26,11660.16,conventional,2016,Albany
2016-09-11,1.68,356.63,128.94,227.69,0,3144.78,organic,2016,Albany
2016-09-11,0.9,340959.8,286405.8,54347.66,206.41,256799.3,conventional,2016,Atlanta
2016-09-11,1.43,5888.33,1355.94,4532.39,0,7128.37,organic,2016,Atlanta
2016-09-11,1.34,717596.4,202958.2,494756.4,19881.72,168131.8,conventional,2016,Baltimore/Washington
2016-09-11,2.14,7679.57,633.05,6730.7,315.82,12716.17,organic,2016,Baltimore/Washington
2016-09-11,0.89,49988.75,41793.11,1783.77,6411.87,39834.23,conventional,2016,Boise
2016-09-11,1.29,620.16,0,620.16,0,2917.7,organic,2016,Boise
2016-09-11,1.27,565682.3,85204.27,470860.3,9617.73,106990.6,conventional,2016,Boston
2016-09-11,1.84,927.84,39.64,888.2,0,16052.75,organic,2016,Boston
2016-09-11,1.38,83007.05,1657.87,81283.86,65.32,41088.77,conventional,2016,Buffalo/Rochester
2016-09-11,1.51,167.31,59.65,107.66,0,1531.94,organic,2016,Buffalo/Rochester
2016-09-11,1.42,111909.3,34440.65,59554.19,17914.48,69079.94,conventional,2016,Charlotte
2016-09-11,1.75,5115.78,251.08,4140.55,724.15,4465.7,organic,2016,Charlotte
2016-09-11,1.67,535222.3,80472.32,355228.9,99520.95,99813.79,conventional,2016,Chicago
2016-09-11,2.07,27944.23,92.82,27851.41,0,2202.23,organic,2016,Chicago
2016-09-11,1.04,128996.8,5370.62,122058.8,1567.4,137723.1,conventional,2016,Cincinnati/Dayton
2016-09-11,1.13,10003.07,531.09,9471.98,0,11707.31,organic,2016,Cincinnati/Dayton
2016-09-11,1.06,117181.3,89423.71,25412.5,2345.13,60118.14,conventional,2016,Columbus
2016-09-11,1.12,4083.08,815.47,3267.61,0,5351.39,organic,2016,Columbus
2016-09-11,0.79,946992.1,714506.1,230292.7,2193.26,361978.1,conventional,2016,Dallas/Ft. Worth
2016-09-11,1.16,10269.88,10022.44,247.44,0,16388.59,organic,2016,Dallas/Ft. Worth
2016-09-11,0.98,354454.7,112292.4,227729.3,14432.98,437111.4,conventional,2016,Denver
2016-09-11,1.4,12440.84,10019.08,2407.87,13.89,8300.95,organic,2016,Denver
