date,average_price,total_volume,_4046,_4225,_4770,total_bags,type,year,geography
2016-08-28,1.090000033,23545768,12561056,10420973,563738.5625,10448164,conventional,2016,Total U.S.
2016-08-28,1.49000001,457760.8125,135742.7656,316907.2813,5110.77002,490770.0625,organic,2016,Total U.S.
2016-09-04,1.039999962,26267660,14643466,11083513,540680.875,10863029,conventional,2016,Total U.S.
2016-09-04,1.539999962,486874.5938,137842.7969,344378.75,4653.040039,565214.1875,organic,2016,Total U.S.
2016-09-11,1.080000043,23855362,12962763,10380438,512160.2813,10271370,conventional,2016,Total U.S.
2016-09-11,1.519999981,483144.5938,144991.2031,334671.5313,3481.850098,620344.25,organic,2016,Total U.S.
2016-09-18,1.149999976,21305330,11337829,9481313,486187.375,10040762,conventional,2016,Total U.S.
2016-09-18,1.669999957,398260.4375,127014.6719,266648.5,4597.27002,473367.125,organic,2016,Total U.S.
2016-09-25,1.220000029,20296580,10548061,9255914,492604.3125,10008534,conventional,2016,Total U.S.
2016-09-25,1.690000057,396955.0625,119993.5781,272553.75,4407.75,411936.875,organic,2016,Total U.S.
2021-12-26,1.580000043,150985.1875,66962.42188,83661.07031,361.7000122,1160951.125,organic,2021,Total U.S.
2021-11-28,1.620000005,150496.1563,65280.17188,85003.1875,212.7899933,940298.4375,organic,2021,Total U.S.
2021-12-19,1.570000052,166588.5,75079.39844,90894.35938,614.75,1151748.625,organic,2021,Total U.S.
2021-11-21,1.610000014,171908.5,78069.15625,93460.50781,378.8299866,1090665.5,organic,2021,Total U.S.
2021-11-14,1.590000033,175366.2344,75786.78906,99321.77344,257.6799927,1176736,organic,2021,Total U.S.
2021-10-24,1.629999995,195258.6719,91416.78125,103582.0703,259.8200073,1103356.375,organic,2021,Total U.S.
2021-10-10,1.629999995,201102.1563,96627.24219,104361.4922,113.4199982,1123056.875,organic,2021,Total U.S.
2021-07-18,1.74000001,172481.5156,67727.57813,104569.8828,184.0599976,1015849.5,organic,2021,Total U.S.
2021-06-06,1.690000057,174887.875,67043.78125,107559.6406,284.4500122,1236393,organic,2021,Total U.S.
2021-10-03,1.659999967,188864.7344,80574.42969,108183.2813,107.0299988,1029193.438,organic,2021,Total U.S.
2021-06-13,1.669999957,181622.7344,72302.63281,109068.7969,251.3200073,1229671.625,organic,2021,Total U.S.
2021-08-08,1.779999971,197217.625,87536.42969,109516.2188,164.9600067,998375.6875,organic,2021,Total U.S.
2021-09-26,1.700000048,202125.0625,91942.4375,110019.7578,162.8600006,970329.5,organic,2021,Total U.S.
2021-08-15,1.75,194541.3594,84202.5,110189.5,149.3600006,1021234.375,organic,2021,Total U.S.
2021-10-31,1.570000052,199007.1094,88383.57031,110513.8594,109.6800003,1144378.625,organic,2021,Total U.S.
2021-11-07,1.629999995,203995.6563,92602.74219,111229.8125,163.0899963,1106191.625,organic,2021,Total U.S.
2021-09-05,1.710000038,201354.7344,89474.5,111764.2266,116,1105259.5,organic,2021,Total U.S.
2021-10-17,1.659999967,188047.5625,75657.5625,112247.4375,142.5700073,1051494,organic,2021,Total U.S.
2021-04-18,1.639999986,209099.1406,94966.82813,112604.7813,1527.540039,1347256.25,organic,2021,Total U.S.
2021-05-30,1.659999967,186779.4375,73916.6875,112605.5078,257.2399902,1245514.25,organic,2021,Total U.S.
2021-08-22,1.74000001,193954.9219,80381.15625,113398.2969,175.4600067,1079497.25,organic,2021,Total U.S.
2021-05-23,1.590000033,189515.7031,74606.38281,114646.1563,263.1700134,1345779.5,organic,2021,Total U.S.
2021-04-04,1.620000005,200047.1875,81070.35156,115875.9766,3100.860107,1288160.25,organic,2021,Total U.S.
2021-08-29,1.730000019,206145.2344,90078.64844,115939.9063,126.6800003,1083710.875,organic,2021,Total U.S.
2021-04-11,1.639999986,214985.7656,94921.27344,116084.6797,3979.810059,1263093.5,organic,2021,Total U.S.
2021-09-12,1.720000029,202600.4063,85525.99219,116905.75,168.6799927,1078869.5,organic,2021,Total U.S.
2021-04-25,1.679999948,244517.5,126616.1563,117122.0938,779.25,1294746.75,organic,2021,Total U.S.
