_date, average_price , total_volume ,_4046,_4225,_4770 ,total_bags,type,year,geography
04/01/2021 0:00,1.24,"137,506.15",7225.73,130204.01,76.41,19476.68,conventional,2021,Albany
04/01/2021 0:00,1.61,459.42,57.84,391.37,10.21,2117.76,organic,2021,Albany
10/01/2021 0:00,1.25,"105,586.70",7066.68,98488.83,31.19,28933.96,conventional,2021,Albany
10/01/2021 0:00,1.46,465.85,54.44,411.4,0,3166.28,organic,2021,Albany
17/01/2021 0:00,1.28,"104,632.94",6731.51,97866.24,35.19,26561.74,conventional,2021,Albany
17/01/2021 0:00,1.53,509.83,136.88,372.95,0,2878.91,organic,2021,Albany
24/01/2021 0:00,0.97,"143,992.19",8621.91,135321.63,48.65,23497.48,conventional,2021,Albany
24/01/2021 0:00,1.53,437.5,41.46,396.03,0,2504.3,organic,2021,Albany
31/01/2021 0:00,0.95,"96,746.44",6550.87,90146.02,49.56,27607.3,conventional,2021,Albany
31/01/2021 0:00,1.37,485.58,104.86,380.71,0,5153.58,organic,2021,Albany
07/02/2021 0:00,1.01,"172,836.29",8623.36,164185.03,27.9,24534.48,conventional,2021,Albany
07/02/2021 0:00,1.42,564.57,55.23,509.33,0,2963.03,organic,2021,Albany
14/02/2021 0:00,1,"109,335.20",7671.11,101641.41,22.68,23682.13,conventional,2021,Albany
14/02/2021 0:00,1.39,341.76,48.83,292.93,0,2747.5,organic,2021,Albany
21/02/2021 0:00,1.04,"111,306.30",7130.45,104138.69,37.16,25241.98,conventional,2021,Albany
21/02/2021 0:00,1.41,424.24,35.4,388.84,0,2917.04,organic,2021,Albany
28/02/2021 0:00,1.01,"101,354.18",7063.9,94259.75,30.54,26067.99,conventional,2021,Albany
28/02/2021 0:00,1.49,521.13,43.37,477.76,0,3200.33,organic,2021,Albany
07/03/2021 0:00,1.06,"121,525.42",7881.2,113611.16,33.08,29300.12,conventional,2021,Albany
07/03/2021 0:00,1.49,411.86,36.27,360.28,15.32,3293.64,organic,2021,Albany
14/03/2021 0:00,0.95,"106,997.21",6584.25,100365.83,47.14,30664.46,conventional,2021,Albany
14/03/2021 0:00,1.48,479.87,40.85,425.74,13.27,3104.71,organic,2021,Albany
21/03/2021 0:00,0.9,"126,841.03",6988.92,119825.27,26.84,27628.43,conventional,2021,Albany
21/03/2021 0:00,1.45,359.82,25.8,305.42,28.6,3458.98,organic,2021,Albany
28/03/2021 0:00,0.99,"107,235.45",11128.52,96070,36.93,28201.9,conventional,2021,Albany
28/03/2021 0:00,1.55,404.09,25.93,378.16,0,3305.91,organic,2021,Albany
04/04/2021 0:00,1.01,"121,282.39",15965.24,105287.7,29.44,27749.37,conventional,2021,Albany
