_date, average_price , total_volume ,_4046,_4225,_4770,total_bags,type,year,geography
23/01/2022 0:00, 1.14 ," 107,310.67 ",37406.1,69887.81,16.75,28467.89,conventional,2022,Albany
16/01/2022 0:00, 1.20 ," 97,607.85 ",35196.66,62384.39,26.8,27990,conventional,2022,Albany
09/01/2022 0:00, 1.20 ," 94,903.40 ",31710.93,63179.42,13.04,26615.65,conventional,2022,Albany
03/01/2022 0:00, 1.07 ," 117,249.56 ",47997.58,69240.82,11.15,22023.01,conventional,2022,Albany
23/01/2022 0:00, 1.25 ," 287,438.44 ",268665.42,18654.43,118.58,134487.02,conventional,2022,Atlanta
16/01/2022 0:00, 1.20 ," 363,206.48 ",336075.4,27000.07,131,153782.77,conventional,2022,Atlanta
09/01/2022 0:00, 1.19 ," 334,300.95 ",307825.82,26395.5,79.63,146244.41,conventional,2022,Atlanta
03/01/2022 0:00, 1.02 ," 348,093.71 ",329058.65,18964.96,70.09,125578.01,conventional,2022,Atlanta
23/01/2022 0:00, 1.48 ," 410,170.15 ",214611.2,192219.04,3339.91,392544.11,conventional,2022,Baltimore/Washington
16/01/2022 0:00, 1.43 ," 438,160.57 ",223303.3,211913.32,2943.96,431162.16,conventional,2022,Baltimore/Washington
09/01/2022 0:00, 1.26 ," 454,658.85 ",251556.38,199487.14,3615.33,475969.73,conventional,2022,Baltimore/Washington
03/01/2022 0:00, 1.29 ," 381,113.52 ",211810.11,166239.37,3064.05,416439.51,conventional,2022,Baltimore/Washington
23/01/2022 0:00, 1.18 ," 144,985.39 ",139118.69,5800.54,66.16,84180.62,conventional,2022,Birmingham/Montgomery
16/01/2022 0:00, 1.17 ," 152,264.88 ",145573.7,6649.58,41.6,88138.53,conventional,2022,Birmingham/Montgomery
09/01/2022 0:00, 1.12 ," 142,787.43 ",136016.69,6711.1,59.63,90821.73,conventional,2022,Birmingham/Montgomery
03/01/2022 0:00, 0.98 ," 162,625.71 ",156534.87,6057.06,33.77,79572.56,conventional,2022,Birmingham/Montgomery
