_date,average_price,total_volume,_4046,_4225,_4770,total_bags,type,year,geography
04/01/2015,1.22,31156.82,2819.5,28287.42,49.9,9716.46,conventional,2015,Albany
04/01/2015,1.79,211.3,57.42,153.88,0,1162.65,organic,2015,Albany
04/01/2015,1,388205.7,364302.39,23821.16,82.15,46815.79,conventional,2015,Atlanta
04/01/2015,1.76,2438.5,1500.15,938.35,0,1408.19,organic,2015,Atlanta
04/01/2015,1.08,646888.38,53987.31,552906.04,39995.03,141136.68,conventional,2015,Baltimore/Washington
04/01/2015,1.29,15255.59,8040.64,6557.47,657.48,3881.69,organic,2015,Baltimore/Washington
04/01/2015,1.01,72278.7,44562.12,24964.23,2752.35,7755.62,conventional,2015,Boise
04/01/2015,1.64,1130.77,1.27,1129.5,0,374.35,organic,2015,Boise
04/01/2015,1.02,404074.87,7193.87,396752.18,128.82,87663.13,conventional,2015,Boston
04/01/2015,1.83,948.09,8.66,939.43,0,1244.04,organic,2015,Boston
04/01/2015,1.4,59070.56,3267.97,55693.04,109.55,57182.88,conventional,2015,Buffalo/Rochester
04/01/2015,1.73,59.82,0,59.82,0,320,organic,2015,Buffalo/Rochester
04/01/2015,0.93,5248883.16,2843648.26,2267755.26,137479.64,528451.74,conventional,2015,California
04/01/2015,1.24,133205.62,107490.73,25711.96,2.93,9144.15,organic,2015,California
04/01/2015,1.19,115208.73,29419.03,47220.75,38568.95,50797.56,conventional,2015,Charlotte
04/01/2015,2.13,1939.99,151.7,882.52,905.77,1025.63,organic,2015,Charlotte
04/01/2015,1.11,705528.55,30270.26,550752.19,124506.1,77539.48,conventional,2015,Chicago
04/01/2015,1.49,16817.62,1189.35,15628.27,0,905.55,organic,2015,Chicago
04/01/2015,0.88,173486.14,3274.3,168764.78,1447.06,55083.44,conventional,2015,Cincinnati/Dayton
04/01/2015,1.34,7066.22,144.47,6921.75,0,1698.11,organic,2015,Cincinnati/Dayton
04/01/2015,0.89,139768.48,80298.77,51860.47,7609.24,18869.56,conventional,2015,Columbus
04/01/2015,1.44,2790.86,358.05,2432.81,0,1140.08,organic,2015,Columbus
04/01/2015,0.74,997033.76,612795.8,374420.68,9817.28,89330.21,conventional,2015,Dallas/Ft. Worth
04/01/2015,1.35,6282.62,4634.7,1647.92,0,3613.34,organic,2015,Dallas/Ft. Worth
04/01/2015,0.99,552526.1,117454.09,429518.41,5553.6,115559.9,conventional,2015,Denver
04/01/2015,1.42,10123.63,3199.35,6916.72,7.56,12356.44,organic,2015,Denver
04/01/2015,1.01,313562.14,121634.27,117865.11,74062.76,56132.13,conventional,2015,Detroit
04/01/2015,1.7,5387.34,361.76,5025.58,0,2059.09,organic,2015,Detroit
04/01/2015,0.95,213058.06,1097,189348.6,22612.46,45921.57,conventional,2015,Grand Rapids
04/01/2015,1.6,796.44,23.59,772.85,0,216.17,organic,2015,Grand Rapids
04/01/2015,1.02,2845019.56,467259.47,2059657.71,318102.38,537780.56,conventional,2015,Great Lakes
04/01/2015,1.54,46596.99,3633.93,42963.06,0,15018.11,organic,2015,Great Lakes
04/01/2015,1.05,154986.57,32679.84,121020.54,1286.19,48952.57,conventional,2015,Harrisburg/Scranton
04/01/2015,1.68,368.64,161.68,206.96,0,2528.08,organic,2015,Harrisburg/Scranton
04/01/2015,1.06,274146.57,6387.6,267593.62,165.35,58061.57,conventional,2015,Hartford/Springfield
04/01/2015,2.32,4451.57,87.56,4364.01,0,349.53,organic,2015,Hartford/Springfield
04/01/2015,0.71,947153.07,506426.58,436347.57,4378.92,115837.55,conventional,2015,Houston
04/01/2015,1.22,7681.65,7009.77,671.88,0,1256.67,organic,2015,Houston
04/01/2015,1.02,123644.7,4007.41,118435.79,1201.5,36485.45,conventional,2015,Indianapolis
04/01/2015,1.63,951.21,76.89,874.32,0,829.39,organic,2015,Indianapolis
04/01/2015,0.97,124820.27,105203.79,19147.78,468.7,28686.57,conventional,2015,Jacksonville
04/01/2015,1.81,857.98,803.33,47.67,6.98,523.33,organic,2015,Jacksonville
04/01/2015,0.8,259222.67,134003.07,120628.37,4591.23,58638.68,conventional,2015,Las Vegas
04/01/2015,1.5,5872.71,3730.8,2141.91,0,457.12,organic,2015,Las Vegas
